sigla;codigo;municipio;mortalidade_infantil;pib;pop;analfabetismo;urbanizacao;pibpc;;
AC;1200013;Acrelândia;28,33;75641,45432;7935;26,691;0,44183995;9,532634445;;
AC;1200054;Assis Brasil;27,61;28164,54802;3490;29,046;0,616332378;8,070071067;;
AC;1200104;Brasiléia;30,71;90503,06502;17013;24,507;0,530535473;5,319641746;;
AC;1200138;Bujari;28,33;54942,54956;5826;38,77;0,279437007;9,430578367;;
AC;1200179;Capixaba;41,58;42746,16287;5206;37,717;0,292162889;8,210941773;;
AC;1200203;Cruzeiro do Sul;32,20;307443,055;67441;28,452;0,577853235;4,558696565;;
AC;1200252;Epitaciolândia;29,28;66276,13407;11028;24,619;0,671381937;6,009805411;;
AC;1200302;Feijó;32,63;103991,5729;26722;52,59;0,420627199;3,891608894;;
AC;1200328;Jordão;41,58;27641,71111;4454;60,661;0,193758419;6,20604201;;
AC;1200336;Mâncio Lima;32,20;45693,84762;11095;31,638;0,522217215;4,118417992;;
AC;1200344;Manoel Urbano;32,63;31179,03634;6374;45,756;0,514747411;4,89159654;;
AC;1200351;Marechal Thaumaturgo;32,20;41603,95803;8295;52,63;0,118746233;5,015546477;;
AC;1200385;Plácido de Castro;26,00;93070,38268;15172;24,745;0,459992091;6,134351614;;
AC;1200393;Porto Walter;40,18;26456,49927;5485;51,612;0,2627165;4,823427396;;
AC;1200401;Rio Branco;29,58;1836486,711;253059;14,005;0,894249958;7,257148378;;
AC;1200427;Rodrigues Alves;40,18;45182,68202;8093;49,85;0,325219325;5,582933648;;
AC;1200435;Santa Rosa do Purus;41,58;14396,9305;2246;56,84;0,230632235;6,410031388;;
AC;1200450;Senador Guiomard;25,45;108431,247;19761;26,162;0,437224837;5,487133596;;
AC;1200500;Sena Madureira;25,65;179401,9573;29420;34,028;0,549116247;6,09795912;;
AC;1200609;Tarauacá;32,63;123112,2035;26037;41,487;0,535622384;4,728355937;;
AC;1200708;Xapuri;27,61;67308,55371;11956;29,363;0,50142188;5,629688333;;
AC;1200807;Porto Acre;26,00;73966,54724;11418;31,421;0,113242249;6,478065094;;
AL;2700102;Água Branca;41,94;29070,84378;18660;40,727;0,240943194;1,557923032;;
AL;2700201;Anadia;44,96;32728,42256;17849;42,007;0,510280688;1,833627798;;
AL;2700300;Arapiraca;47,40;719264,3847;186466;30,404;0,817060483;3,857348711;;
AL;2700409;Atalaia;36,38;103062,4666;40552;43,514;0,442616887;2,541489116;;
AL;2700508;Barra de Santo Antônio;43,62;26276,23229;11351;42,715;0,843449916;2,314882591;;
AL;2700607;Barra de São Miguel;40,18;22044,85894;6379;36,169;0,821602132;3,455848713;;
AL;2700706;Batalha;54,28;38100,89098;14799;42,381;0,697479559;2,574558482;;
AL;2700805;Belém;46,35;9168,751337;5919;40,679;0,307991215;1,549037225;;
AL;2700904;Belo Monte;52,40;13079,55983;6822;47,89;0,179712694;1,917261775;;
AL;2701001;Boca da Mata;44,22;67013,7974;24227;36,492;0,636273579;2,766079061;;
AL;2701100;Branquinha;67,07;19222,25041;11325;54,641;0,5199117;1,697328954;;
AL;2701209;Cacimbinhas;54,52;19271,86587;9552;50,79;0,443467337;2,017573898;;
AL;2701308;Cajueiro;62,14;38403,39762;18975;46,721;0,740342556;2,023894473;;
AL;2701357;Campestre;59,52;11386,53707;6223;39,336;0,75928009;1,829750453;;
AL;2701407;Campo Alegre;44,22;80147,35072;41028;40,523;0,392829287;1,953479349;;
AL;2701506;Campo Grande;50,57;15255,77651;9134;53,033;0,405408364;1,67021858;;
AL;2701605;Canapi;73,60;26309,73889;17334;52,636;0,237221645;1,517811174;;
AL;2701704;Capela;53,51;35138,98253;18693;45,388;0,654095116;1,879793641;;
AL;2701803;Carneiros;66,63;11717,09511;6585;39,434;0,514047077;1,779361444;;
AL;2701902;Chã Preta;57,74;13076,02086;7760;44,57;0,473195876;1,685054234;;
AL;2702009;Coité do Nóia;50,57;16597,20617;11993;46,234;0,21003919;1,383907794;;
AL;2702108;Colônia Leopoldina;60,31;51620,03211;17493;41,884;0,652489567;2,950896479;;
AL;2702207;Coqueiro Seco;36,98;9274,162648;5134;35,695;0,890923257;1,806420461;;
AL;2702306;Coruripe;50,26;233052,8997;48846;36,388;0,454469148;4,771176754;;
AL;2702355;Craíbas;50,57;36858,12752;20789;50,895;0,317860407;1,772962986;;
AL;2702405;Delmiro Gouveia;45,73;137923,3105;42995;31,001;0,780625654;3,20789186;;
AL;2702504;Dois Riachos;64,70;17019,88458;11066;49,312;0,399512019;1,538034031;;
AL;2702553;Estrela de Alagoas;57,22;22690,94384;16341;49,061;0,199498195;1,388589673;;
AL;2702603;Feira Grande;53,29;32464,03659;21270;49,678;0,167230842;1,526282867;;
AL;2702702;Feliz Deserto;39,42;21671,63656;3836;42,863;0,742440042;5,649540292;;
AL;2702801;Flexeiras;57,73;21109,94137;11979;46,483;0,558477335;1,762245711;;
AL;2702900;Girau do Ponciano;64,82;54858,5491;29574;50,747;0,299519849;1,854958717;;
AL;2703007;Ibateguara;39,95;26931,8031;15105;49,638;0,54796425;1,782972731;;
AL;2703106;Igaci;60,01;39588,93557;25584;47,294;0,230065666;1,547409927;;
AL;2703205;Igreja Nova;36,98;83767,32647;21451;48,703;0,206657032;3,905054611;;
AL;2703304;Inhapi;68,55;22423,94182;17768;52,785;0,334140027;1,26204085;;
AL;2703403;Jacaré dos Homens;69,49;16024,6482;5720;43,987;0,494055944;2,801511923;;
AL;2703502;Jacuípe;51,29;12970,60178;7313;48,499;0,457267879;1,773636234;;
AL;2703601;Japaratinga;36,59;13977,38576;6868;39,01;0,36560862;2,035146441;;
AL;2703700;Jaramataia;52,40;12353,68013;5788;46,289;0,498790601;2,134360768;;
AL;2703809;Joaquim Gomes;58,72;30462,86254;21488;49,845;0,586653016;1,417668584;;
AL;2703908;Jundiá;51,98;10031,4355;4680;46,712;0,458974359;2,143469125;;
AL;2704005;Junqueiro;42,10;46661,33593;23832;41,218;0,291918429;1,957927825;;
AL;2704104;Lagoa da Canoa;51,22;29352,39973;19988;44,619;0,44456674;1,468501087;;
AL;2704203;Limoeiro de Anadia;50,57;33456,61706;24263;46,65;0,086757614;1,3789151;;
AL;2704302;Maceió;43,69;4723394,406;797759;16,874;0,997549385;5,920828728;;
AL;2704401;Major Isidoro;81,72;33816,17996;17639;48,665;0,483870968;1,917125685;;
AL;2704500;Maragogi;33,98;52357,65765;21832;40,135;0,590967387;2,398207111;;
AL;2704609;Maravilha;44,34;16508,95449;13687;44,895;0,383867904;1,206177723;;
AL;2704708;Marechal Deodoro;36,56;383473,6232;35866;33,991;0,83190208;10,6918425;;
AL;2704807;Maribondo;41,44;25238,23736;15145;38,291;0,66695279;1,666440235;;
AL;2704906;Mar Vermelho;41,44;6945,994895;4078;39,002;0,360225601;1,703284673;;
AL;2705002;Mata Grande;46,61;34405,03986;25032;50,013;0,188998082;1,374442308;;
AL;2705101;Matriz de Camaragibe;57,19;49832,99449;24017;42,42;0,760378066;2,074905046;;
AL;2705200;Messias;48,26;26898,82034;11990;38,716;0,796663887;2,243437893;;
AL;2705309;Minador do Negrão;42,57;11121,77323;5399;50,89;0,351546583;2,059969112;;
AL;2705408;Monteirópolis;55,20;11643,8684;7240;47,292;0,371685083;1,608269116;;
AL;2705507;Murici;55,88;53998,57209;24671;43,463;0,708726845;2,188746791;;
AL;2705606;Novo Lino;72,27;21374,79062;10375;48,266;0,514795181;2,060220782;;
AL;2705705;Olho d'Água das Flores;51,44;39447,36796;19417;39,195;0,669310398;2,031589224;;
AL;2705804;Olho d'Água do Casado;63,08;13098,31062;7059;48,274;0,550644567;1,855547616;;
AL;2705903;Olho d'Água Grande;45,88;7909,39245;4847;52,532;0,222199299;1,631811935;;
AL;2706000;Olivença;68,54;16209,39415;10369;46,532;0,228662359;1,563255294;;
AL;2706109;Ouro Branco;53,21;15797,09247;10077;37,241;0,525950184;1,567638431;;
AL;2706208;Palestina;68,41;7531,801874;4523;38,585;0,666371877;1,665222612;;
AL;2706307;Palmeira dos Índios;33,39;174077,9211;68060;32,452;0,71933588;2,557712623;;
AL;2706406;Pão de Açúcar;44,34;40477,93762;24351;41;0,44376001;1,662270035;;
AL;2706422;Pariconha;59,00;15774,43571;10086;44,275;0,238350188;1,563993229;;
AL;2706448;Paripueira;49,30;19793,08263;8049;33,116;0,880233569;2,459073504;;
AL;2706505;Passo de Camaragibe;55,20;27099,21601;13755;47,277;0,418102508;1,970135661;;
AL;2706604;Paulo Jacinto;42,57;12130,20479;7485;40,004;0,622712091;1,620601843;;
AL;2706703;Penedo;42,32;143723,0041;56993;30,168;0,728949169;2,521765903;;
AL;2706802;Piaçabuçu;45,52;29841,79578;16775;39,038;0,605305514;1,778944607;;
AL;2706901;Pilar;51,11;109341,9622;31201;37,066;0,902727477;3,504437748;;
AL;2707008;Pindoba;47,98;6478,765935;2926;50,294;0,454545455;2,214205719;;
AL;2707107;Piranhas;50,49;33796,98245;20007;38,812;0,066976558;1,689257882;;
AL;2707206;Poço das Trincheiras;85,10;17474,52398;13222;51,033;0,117758282;1,321624866;;
AL;2707305;Porto Calvo;41,38;60322,1099;23951;39,475;0,62556887;2,518563312;;
AL;2707404;Porto de Pedras;85,10;17068,90219;10238;51,803;0,507716351;1,667210607;;
AL;2707503;Porto Real do Colégio;55,23;27802,08076;18355;44,362;0,324707164;1,514687048;;
AL;2707602;Quebrangulo;49,14;21070,63432;11902;46,269;0,51663586;1,770344003;;
AL;2707701;Rio Largo;34,16;172745,159;62510;26,986;0,798576228;2,763480387;;
AL;2707800;Roteiro;76,84;18951,63746;6985;49,529;0,784108805;2,71319076;;
AL;2707909;Santa Luzia do Norte;46,73;35971,04997;6388;29,833;0,852536005;5,631034749;;
AL;2708006;Santana do Ipanema;50,16;95637,07972;41485;38,731;0,578353622;2,305341201;;
AL;2708105;Santana do Mundaú;48,25;23257,40994;11534;50,422;0,535980579;2,016421878;;
AL;2708204;São Brás;36,46;12573,41462;6551;43,145;0,461150969;1,91931226;;
AL;2708303;São José da Laje;49,48;66175,28921;21071;42,966;0,594181577;3,140586076;;
AL;2708402;São José da Tapera;67,40;40480,71672;27562;50,249;0,336006095;1,468714778;;
AL;2708501;São Luís do Quitunde;36,38;94611,08168;29543;46,581;0,593203128;3,202487279;;
AL;2708600;São Miguel dos Campos;33,14;305103,8552;51456;32,077;0,687480566;5,92941261;;
AL;2708709;São Miguel dos Milagres;33,98;13648,12643;5860;38,446;0,297610922;2,329031813;;
AL;2708808;São Sebastião;52,20;58569,14877;29124;49,802;0,32303255;2,011026946;;
AL;2708907;Satuba;30,50;28299,47198;12555;22,99;0,794504182;2,254039982;;
AL;2708956;Senador Rui Palmeira;85,10;16433,95182;11979;49,843;0,287419651;1,371896805;;
AL;2709004;Tanque d'Arca;43,37;8983,447398;6594;48,517;0,324689111;1,362366909;;
AL;2709103;Taquarana;43,11;32799,44887;17046;47,477;0,256423794;1,92417276;;
AL;2709152;Teotônio Vilela;76,84;84117,72075;36881;40,566;0,809034462;2,280787418;;
AL;2709202;Traipu;85,10;32776,8594;23439;53,13;0,304236529;1,398389838;;
AL;2709301;União dos Palmares;46,37;175279,1688;58620;43,697;0,646008188;2,990091587;;
AL;2709400;Viçosa;49,48;44814,48521;26263;41,883;0,67056315;1,706373423;;
AM;1300029;Alvarães;45,79;25468,22436;12150;25,073;0,437366255;2,096150153;;
AM;1300060;Amaturá;39,53;16424,48972;7308;26,297;0,537766831;2,247467121;;
AM;1300086;Anamã;55,28;24190,26065;6563;23,921;0,314490325;3,685854129;;
AM;1300102;Anori;45,30;35639,0338;11320;25,574;0,63860424;3,148324541;;
AM;1300144;Apuí;47,31;77446,38452;13864;19,917;0,44186382;5,586150067;;
AM;1300201;Atalaia do Norte;47,60;26053,67004;10049;50,277;0,415464225;2,592662956;;
AM;1300300;Autazes;41,29;57729,76166;24345;20,379;0,416923393;2,371319025;;
AM;1300409;Barcelos;27,37;39691,08069;24197;43,252;0,328718436;1,640330648;;
AM;1300508;Barreirinha;41,29;47869,23197;22579;17,263;0,409584127;2,120077593;;
AM;1300607;Benjamin Constant;44,48;55678,36861;23219;27,814;0,610319135;2,39796583;;
AM;1300631;Beruri;53,21;26330,28687;11038;37,841;0,449266171;2,385421894;;
AM;1300680;Boa Vista do Ramos;59,65;24691,32282;10482;11,046;0,478630032;2,355592714;;
AM;1300706;Boca do Acre;46,81;80541,94513;26959;36,979;0,542082421;2,987571688;;
AM;1300805;Borba;63,34;55824,71075;28619;21,135;0,392955729;1,950617099;;
AM;1300839;Caapiranga;50,40;22027,4757;8803;26,629;0,35385664;2,502269192;;
AM;1300904;Canutama;63,34;23745,88204;10737;39,696;0,50656608;2,211593745;;
AM;1301001;Carauari;63,34;60196,43271;23421;42,844;0,720549934;2,570190543;;
AM;1301100;Careiro;41,29;56536,25444;27554;25,613;0,213290266;2,05183474;;
AM;1301159;Careiro da Várzea;36,59;51987,53323;17267;21,864;0,046678636;3,010802874;;
AM;1301209;Coari;39,16;796255,3735;67096;31,517;0,588768332;11,86740452;;
AM;1301308;Codajás;60,47;45043,82156;17507;29,389;0,644827783;2,572903499;;
AM;1301407;Eirunepé;58,86;59468,8252;26074;47,091;0,643591317;2,280771082;;
AM;1301506;Envira;51,85;35020,77617;19060;51,928;0,353882476;1,837396441;;
AM;1301605;Fonte Boa;63,34;63290,3799;31509;40,6;0,369196103;2,008644511;;
AM;1301654;Guajará;59,65;33738,3635;13220;51,092;0,470499244;2,552069857;;
AM;1301704;Humaitá;39,86;95571,47341;32796;24,984;0,731522137;2,914119814;;
AM;1301803;Ipixuna;75,30;42902,72387;14759;53,376;0,39060912;2,906885552;;
AM;1301852;Iranduba;28,97;86245,53941;32303;20,764;0,307711358;2,669892561;;
AM;1301902;Itacoatiara;31,46;423905,0899;72105;12,358;0,644407461;5,878997156;;
AM;1301951;Itamarati;51,85;18197,02;8406;59,952;0,36914109;2,164765643;;
AM;1302009;Itapiranga;36,85;18380,76124;7309;9,61;0,724449309;2,514812046;;
AM;1302108;Japurá;43,95;12983,18669;10285;34,134;0,221973748;1,262341924;;
AM;1302207;Juruá;75,30;18536,59964;6584;40,162;0,463547995;2,815400918;;
AM;1302306;Jutaí;63,34;32571,80152;22500;45,101;0,343333333;1,447635623;;
AM;1302405;Lábrea;42,43;190321,9223;28956;41,328;0,665699682;6,572797427;;
AM;1302504;Manacapuru;43,21;191178,6782;73695;21,872;0,646746726;2,594187912;;
AM;1302553;Manaquiri;46,38;36926,897;12711;22,851;0,327668948;2,905113445;;
AM;1302603;Manaus;28,73;19684555,26;1405835;6,094;0,993550452;14,00203812;;
AM;1302702;Manicoré;41,29;110684,4297;38038;27,212;0,40325464;2,909838311;;
AM;1302801;Maraã;51,85;50490,50535;17079;36,531;0,264711049;2,956291665;;
AM;1302900;Maués;35,34;107791,0831;40036;15,391;0,528998901;2,69235396;;
AM;1303007;Nhamundá;43,95;41470,41612;15355;15,535;0,410810811;2,700776042;;
AM;1303106;Nova Olinda do Norte;43,95;50118,24315;23725;24,166;0,432539515;2,112465465;;
AM;1303205;Novo Airão;47,45;26631,73808;9651;20,167;0,72365558;2,759479648;;
AM;1303304;Novo Aripuanã;42,43;40189,15775;17119;28,818;0,528886033;2,347634661;;
AM;1303403;Parintins;38,66;208184,059;90150;9,44;0,644758735;2,309307366;;
AM;1303502;Pauini;63,34;31987,52825;17092;51,681;0,40779312;1,871491239;;
AM;1303536;Presidente Figueiredo;36,03;142635,432;17394;12,131;0,483327584;8,200266301;;
AM;1303569;Rio Preto da Eva;36,03;63634,17245;17582;19,234;0,354453418;3,619279516;;
AM;1303601;Santa Isabel do Rio Negro;73,37;28304,97997;10561;37,261;0,399583373;2,68014203;;
AM;1303700;Santo Antônio do Içá;63,34;44460,29573;28213;41,658;0,280225428;1,575879762;;
AM;1303809;São Gabriel da Cachoeira;34,20;96462,79699;29947;23,15;0,413163255;3,221117207;;
AM;1303908;São Paulo de Olivença;63,34;49888,17851;23113;41,539;0,379440142;2,158446697;;
AM;1303957;São Sebastião do Uatumã;48,50;15345,01943;7160;13,158;0,658798883;2,143159138;;
AM;1304005;Silves;43,95;31578,39596;7785;11,625;0,431984586;4,056312904;;
AM;1304062;Tabatinga;36,03;91392,41698;37919;21,668;0,702471057;2,410201139;;
AM;1304104;Tapauá;75,30;42323,65993;20595;46,011;0,457101238;2,055045396;;
AM;1304203;Tefé;46,68;139206,2972;64457;20,639;0,739997207;2,159676951;;
AM;1304237;Tonantins;51,85;32233,0511;15512;30,591;0,28120165;2,077942954;;
AM;1304260;Uarini;47,88;32127,62944;10254;31,979;0,346401404;3,133180168;;
AM;1304302;Urucará;38,66;34081,5784;18372;13,409;0,440779447;1,855082647;;
AM;1304401;Urucurituba;41,14;31925,7368;12264;13,175;0,551125245;2,603207502;;
AP;1600055;Serra do Navio;28,35;75503,76938;3293;11,204;0,369268145;22,92856647;;
AP;1600105;Amapá;28,35;37564,24499;7121;17,158;0,831624772;5,275136216;;
AP;1600154;Pedra Branca do Amaparí;56,28;48403,37061;4009;26,411;0,340234472;12,07367688;;
AP;1600204;Calçoene;47,39;44638,35506;6730;16,435;0,78320951;6,632742208;;
AP;1600212;Cutias;34,26;23943,65545;3280;17,83;0,439634146;7,299894954;;
AP;1600238;Ferreira Gomes;24,12;37679,87102;3562;17,709;0,708309938;10,57829057;;
AP;1600253;Itaubal;56,28;15474,19935;2894;19,091;0,399447132;5,346993555;;
AP;1600279;Laranjal do Jari;28,35;158571,1448;28515;16,444;0,939575662;5,560972989;;
AP;1600303;Macapá;30,83;2216904,465;283308;9,044;0,955243057;7,825068353;;
AP;1600402;Mazagão;28,35;54008,47675;11986;29,041;0,498247956;4,505963353;;
AP;1600501;Oiapoque;34,26;111433,1401;12886;17,193;0,608567438;8,647612917;;
AP;1600535;Porto Grande;28,35;68200,96844;11042;20,031;0,667813802;6,176505021;;
AP;1600550;Pracuúba;47,39;16318,99663;2286;18,145;0,423884514;7,138668691;;
AP;1600600;Santana;28,35;498411,3045;80439;14,367;0,942938127;6,196139988;;
AP;1600709;Tartarugalzinho;39,42;52392,42311;7121;19,94;0,489116697;7,357453041;;
AP;1600808;Vitória do Jari;54,91;42167,16881;8560;18,186;0,803738318;4,926071122;;
BA;2900108;Abaíra;30,53;13717,49635;9067;23,888;0,392522334;1,512903535;;
BA;2900207;Abaré;64,11;25241,21989;13648;33,055;0,405041032;1,849444599;;
BA;2900306;Acajutiba;64,43;27403,02136;14322;30,381;0,850719173;1,913351582;;
BA;2900355;Adustina;78,58;38086,50631;14302;45,504;0,313522584;2,663019599;;
BA;2900405;Água Fria;59,06;26531,83166;14718;39,996;0,293789917;1,802679145;;
BA;2900504;Érico Cardoso;41,62;15003,40243;12160;44,874;0,108717105;1,233832437;;
BA;2900603;Aiquara;50,83;10482,33665;5315;32,64;0,512888053;1,97221762;;
BA;2900702;Alagoinhas;41,13;616134,9256;130095;14,29;0,864291479;4,736038476;;
BA;2900801;Alcobaça;56,73;80858,69513;20900;30,306;0,356267943;3,868837087;;
BA;2900900;Almadina;44,35;12136,44005;7862;34,618;0,688883236;1,543683547;;
BA;2901007;Amargosa;42,81;74001,35203;31108;28,019;0,671338562;2,378852772;;
BA;2901106;Amélia Rodrigues;43,02;54834,87366;24134;16,997;0,788182647;2,272100508;;
BA;2901155;América Dourada;78,54;33951,885;15959;31,124;0,635879441;2,127444389;;
BA;2901205;Anagé;46,22;34802,47807;31060;38,639;0,135479717;1,120491889;;
BA;2901304;Andaraí;81,31;21867,74738;13884;35,757;0,516133679;1,575032223;;
BA;2901353;Andorinha;66,00;43444,85922;15774;39,586;0,274819323;2,754206873;;
BA;2901403;Angical;38,27;29358,47453;14701;31,819;0,410516291;1,997039285;;
BA;2901502;Anguera;53,50;11799,97389;8834;26,192;0,391215757;1,33574529;;
